"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Update course","LMS service","Mon Aug 04 16:02:17 GMT 2025","passed","Mon Aug 04 16:02:17 GMT 2025","Update entity","Courses","",""
"","20","Create exercise","LMS service","Mon Aug 04 16:02:18 GMT 2025","passed","Mon Aug 04 16:02:18 GMT 2025","Create entity","Exercises","",""
"","25","Get courses","LMS service","Mon Aug 04 16:02:16 GMT 2025","passed","Mon Aug 04 16:02:16 GMT 2025","Get entities","Courses","",""
"","37","Create file with empty directory","LMS service","Mon Aug 04 16:02:24 GMT 2025","passed","Mon Aug 04 16:02:24 GMT 2025","Validate entity","Files","",""
"","38","Create file","LMS service","Mon Aug 04 16:02:22 GMT 2025","passed","Mon Aug 04 16:02:22 GMT 2025","Create entity","Files","",""
"","11","Get exercises","LMS service","Mon Aug 04 16:02:21 GMT 2025","passed","Mon Aug 04 16:02:21 GMT 2025","Get entities","Exercises","",""
"","283","Login with correct email and password","LMS service","Mon Aug 04 16:02:15 GMT 2025","passed","Mon Aug 04 16:02:15 GMT 2025","Login","Authentication","",""
"","21","Update exercise","LMS service","Mon Aug 04 16:02:20 GMT 2025","passed","Mon Aug 04 16:02:20 GMT 2025","Update entity","Exercises","",""
"","285","Create user","LMS service","Mon Aug 04 16:02:25 GMT 2025","passed","Mon Aug 04 16:02:25 GMT 2025","Create entity","Users","",""
"","17","Delete exercise","LMS service","Mon Aug 04 16:02:20 GMT 2025","passed","Mon Aug 04 16:02:20 GMT 2025","Delete entity","Exercises","",""
"","18","Get exercise","LMS service","Mon Aug 04 16:02:19 GMT 2025","passed","Mon Aug 04 16:02:19 GMT 2025","Get entity","Exercises","",""
"","284","Create user","LMS service","Mon Aug 04 16:02:26 GMT 2025","passed","Mon Aug 04 16:02:26 GMT 2025","Create entity","Users","",""
"","287","Create user","LMS service","Mon Aug 04 16:02:25 GMT 2025","passed","Mon Aug 04 16:02:26 GMT 2025","Create entity","Users","",""
"","18","Delete file","LMS service","Mon Aug 04 16:02:23 GMT 2025","passed","Mon Aug 04 16:02:23 GMT 2025","Delete entity","Files","",""
"","15","Get user me","LMS service","Mon Aug 04 16:02:27 GMT 2025","passed","Mon Aug 04 16:02:27 GMT 2025","Get entity","Users","",""
"","38","Create file with empty filename","LMS service","Mon Aug 04 16:02:24 GMT 2025","passed","Mon Aug 04 16:02:24 GMT 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Mon Aug 04 16:02:22 GMT 2025","passed","Mon Aug 04 16:02:22 GMT 2025","Get entity","Files","",""
"","16","Get file with incorrect file id","LMS service","Mon Aug 04 16:02:25 GMT 2025","passed","Mon Aug 04 16:02:25 GMT 2025","Validate entity","Files","",""
"","27","Create course","LMS service","Mon Aug 04 16:02:17 GMT 2025","passed","Mon Aug 04 16:02:17 GMT 2025","Create entity","Courses","",""
